,iteration,posterior,likelihood,prior,no_admixes,add,descendant_sets,tree,admixtures,layer
10,400,-270.41018343480704,-224.19439209098346,-46.21579134382358,4,,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s1.s4-s2-s3-s4,a.w.w.w-a.w.w.w.w-c.c.w.w.0.1-a.c.1.w-c.a.0.w-c.0.c.2-c.0;0.077502380-0.015017934-0.034835903-0.001314016-0.104438808-0.018596619-0.003463868-0.009150774-0.078118769-0.084441738-0.002041216-0.072944378-0.014575034-0.024438454-0.003143402-0.000550657-0.029614745-0.083836460;0.818-0.463-0.768-0.546,x85b-x87b-x89b-x112b;0.463-0.818-0.546-0.768,0
11,440,-252.14760652102885,-180.90099209025357,-71.24661443077528,6,,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s1.s3-s2-s3-s4,a.w.w.w-a.w.c.w.2-a.w.w.w.w-a.w.w.w.w.w-c.0.w.w.w.w.w-c.0.w.w.w.w-c.w.w.w.0-a.w.w.w-w.w.w.c.3-w.w.w.a-c.w.w.w.0-c.0.w.w-c.w.0-c.0;0.028087427-0.047981199-0.074033703-0.110701680-0.011692399-0.056712587-0.024985599-0.007030218-0.003123451-0.003962782-0.000154952-0.111249393-0.001215089-0.016749480-0.002021761-0.000594713-0.033643110-0.141555822-0.008002691-0.082196672-0.017783648-0.083912893-0.002034600-0.061515919;0.978-0.191-0.195-0.052-0.553-0.351,x87b-x89b-x115b-x116b-x120b-x122b;0.052-0.553-0.191-0.351-0.195-0.978,0
12,480,-406.6381324160072,-360.4420021539736,-46.19613026203361,4,,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s3-s4,a.a.w.w-a.w.w.w.w.w-a.w.w.w.w.w.w-w.w.w.w.w.c.w.5-w.w.w.w.c.4.w-w.c.w.w.1.w-w.c.1.w.w-w.c.1.w-c.0.w-c.0;0.027513607-0.008344921-0.048332392-0.106549903-0.000148290-0.016622932-0.113740385-0.002432979-0.058428682-0.000425209-0.001001402-0.074307448-0.003474465-0.081508973-0.006937232-0.001384498-0.041474426-0.055444746;0.752-0.540-0.898-0.217,x115b-x122b-x132b-x137b;0.898-0.752-0.540-0.217,0
13,520,-416.0165345038123,-369.9029261330834,-46.11360837072889,4,,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s4,w.w.a.w-w.c.w.w.1-c.0.w.w-a.w.w-c.0.c.2-a.a-w.c.1.w-w.c.1-c.0;0.014484124-0.000424862-0.099589741-0.089036220-0.000826519-0.006331449-0.005257746-0.113373234-0.029422179-0.060067986-0.002224224-0.002316884-0.098209738-0.000415758-0.025240152-0.008887618-0.034418336-0.039610341;0.392-0.983-0.185-0.421,x145b-x147b-x149b-x152b;0.185-0.983-0.392-0.421,0
14,560,-556.4628359956972,-532.2160301644144,-24.246805831282803,2,,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s3-s4,c.0.w.w-a.w.w-w.c.w.1-w.a.w-c.0.c.2-c.0;0.089077610-0.000882817-0.003409204-0.087532979-0.007644074-0.003126945-0.083431832-0.020545473-0.050796694-0.000413900-0.027235055-0.099339354;0.143-0.537,x145b-x157b;0.537-0.143,0
15,600,-505.6520540894121,-470.9556478821105,-34.6964062073016,3,,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s3-s4,a.w.w.w-w.c.w.w.1-w.c.1.w-w.a.w-w.w.w.a-w.w.c.w.2-c.w.0.w-c.w.0-c.0;0.060867353-0.001346303-0.031750512-0.007228209-0.087896686-0.001660636-0.011877757-0.046840409-0.000581605-0.153575426-0.068346232-0.009104038-0.006268897-0.000874388-0.051373141;0.228-0.859-0.619,x145b-x172b-x175b;0.859-0.228-0.619,0
16,640,-244.15545804674295,-219.6423140021725,-24.51314404457046,2,,s1-s1.s2-s1.s2.s3-s1.s2.s3.s4-s2-s3-s4,a.w.w.w-w.c.w.w.1-w.c.1.w-w.a.w-w.w.c.2-w.c.1-c.0;0.061256342-0.003540528-0.024896936-0.013330472-0.089863518-0.003385250-0.044193010-0.009047913-0.047661884-0.063608728-0.151358420-0.012013032;0.589-0.762,x145b-x172b;0.762-0.589,0
17,680,-262.60193628333184,-247.07097926926508,-15.53095701406677,1,,s1-s1.s2.s3-s1.s2.s3.s4-s1.s3-s2-s3-s4,a.w.w.w-w.w.c.w.2-w.c.1.w-w.c.1-c.0;0.060801413-0.089495100-0.023537029-0.002554208-0.002752139-0.043689211-0.104982201-0.154154245-0.012251230;0.459,x172b;0.459,0
18,720,-302.92032900570666,-244.65797193142498,-58.2623570742817,5,,s1-s1.s2.s3-s1.s2.s3.s4-s1.s3-s1.s3.s4-s2-s3-s4,a.w.w.w-a.w.w.w.w-a.w.w.w.w.w-w.w.w.w.w.w.a-w.w.w.w.c.w.w.4-w.w.c.w.2.w.w-w.w.a.w.w.w-w.w.c.c.w.2.3-w.c.1.w.w-w.c.1.w-c.0.w-c.0;0.061590267-0.139964379-0.011042798-0.018560485-0.011738112-0.044724704-0.089706675-0.009559267-0.002308542-0.000013474-0.009492415-0.144845792-0.000610657-0.002929700-0.000011311-0.042893236-0.097057939-0.024052329-0.003962098-0.010565516-0.012556931;0.519-0.684-0.391-0.918-0.865,x172b-x202b-x206b-x209b-x210b;0.519-0.684-0.865-0.391-0.918,0
19,760,-387.7373863030457,-352.6983082344668,-35.03907806857888,3,,s1-s1.s2.s3-s1.s2.s3.s4-s2-s2.s3-s3-s3.s4-s4,a.w.a.w-w.c.1.c.a.3-w.c.w.1.w-w.c.w.1-w.c.1-c.0;0.061514710-0.091401515-0.002866403-0.000689796-0.019449836-0.008629436-0.000648103-0.009339102-0.004987302-0.023836058-0.124000572-0.026041980-0.087320320-0.137798172-0.017005772;0.519-0.865-0.586,x172b-x206b-x219b;0.519-0.865-0.586,0
